,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
233,48,1533776704,79,63.19,64.42,53.11,6.85
234,92,1533776963,100,-7.93,-14.42,76.83,19.48
235,8,1533776962,67,-46.43,-67.52,45.69,14.12
236,75,1533772800,60,-54.81,-68.31,41.0,17.22
237,12,1533776962,77,73.51,80.55,50.73,19.37
238,32,1533776986,82,60.7,60.42,48.25,6.62
239,12,1533776962,77,73.51,80.55,50.73,19.37
240,92,1533776963,100,66.83,70.83,48.21,23.51
241,75,1533772800,60,-54.81,-68.31,41.0,17.22
242,48,1533776962,89,53.68,53.66,54.96,12.44
243,8,1533776964,89,14.12,15.31,74.22,8.63
244,8,1533776964,89,14.12,15.31,74.22,8.63
245,8,1533776962,67,-46.43,-67.52,45.69,14.12
246,12,1533776962,77,73.51,80.55,50.73,19.37
247,8,1533776964,89,14.12,15.31,74.22,8.63
248,88,1533776877,95,-33.69,-53.46,53.56,11.54
249,20,1533772200,58,36.49,36.19,84.2,9.17
250,92,1533776963,100,66.83,70.83,48.21,23.51
251,75,1533772800,60,-54.81,-68.31,41.0,17.22
252,0,1533776961,80,51.2,49.73,59.91,9.86
253,76,1533776976,50,47.24,47.04,75.84,12.33
254,76,1533776976,50,47.24,47.04,75.84,12.33
255,90,1533774600,94,41.19,40.99,71.6,6.93
256,92,1533776963,100,-7.93,-14.42,76.83,19.48
257,92,1533776963,100,66.83,70.83,48.21,23.51
258,75,1533772800,88,-22.97,-42.02,69.8,12.75
259,92,1533776963,100,-7.93,-14.42,76.83,19.48
260,92,1533776982,98,57.36,57.24,55.99,14.45
261,92,1533776963,100,-7.93,-14.42,76.83,19.48
262,92,1533776963,100,-7.93,-14.42,76.83,19.48
263,48,1533776985,85,66.66,66.39,48.66,13.89
264,75,1533774600,94,42.21,42.35,69.8,4.7
265,75,1533774000,73,41.02,40.52,73.4,4.7
266,40,1533776400,78,-3.71,-38.6,78.8,9.17
267,32,1533776974,28,29.03,21.55,91.0,11.1
268,90,1533774600,94,41.67,41.69,71.6,6.93
269,92,1533776989,99,58.11,57.8,54.69,10.2
270,76,1533776967,99,-17.73,-39.27,76.33,10.76
271,12,1533776962,77,73.51,80.55,50.73,19.37
272,12,1533776962,77,73.51,80.55,50.73,19.37
273,75,1533772800,60,-54.81,-68.31,41.0,17.22
274,75,1533772800,60,-54.81,-68.31,41.0,17.22
275,75,1533772800,60,-54.81,-68.31,41.0,17.22
276,75,1533772800,60,-54.81,-68.31,41.0,17.22
277,75,1533772800,60,-54.81,-68.31,41.0,17.22
278,92,1533776964,99,-21.64,-41.05,73.36,13.67
279,12,1533776962,77,73.51,80.55,50.73,19.37
280,12,1533776962,77,73.51,80.55,50.73,19.37
281,75,1533772800,88,-22.97,-42.02,69.8,12.75
282,75,1533772800,60,-54.81,-68.31,41.0,17.22
283,12,1533776962,77,73.51,80.55,50.73,19.37
284,36,1533776990,97,-34.48,-54.34,49.56,3.94
285,88,1533776990,92,54.12,54.12,54.46,13.44
286,75,1533772800,88,-22.97,-42.02,69.8,12.75
287,75,1533772800,88,-22.97,-42.02,69.8,12.75
288,20,1533774600,87,53.25,50.49,55.4,13.42
289,92,1533776963,100,-7.93,-14.42,76.83,19.48
290,8,1533776964,89,14.12,15.31,74.22,8.63
291,75,1533772800,60,-54.81,-68.31,41.0,17.22
292,48,1533776704,79,63.19,64.42,53.11,6.85
293,12,1533776962,77,73.51,80.55,50.73,19.37
294,92,1533776963,100,-7.93,-14.42,76.83,19.48
295,92,1533776991,99,6.86,7.39,72.19,5.73
296,12,1533776962,77,73.51,80.55,50.73,19.37
297,92,1533776963,100,-7.93,-14.42,76.83,19.48
298,0,1533776972,86,65.4,64.7,47.76,16.58
299,88,1533776991,98,10.31,9.85,67.02,2.59
300,75,1533772800,60,-54.81,-68.31,41.0,17.22
301,0,1533774000,49,38.35,38.32,71.6,20.8
302,92,1533776963,100,-7.93,-14.42,76.83,19.48
303,48,1533776982,78,13.04,8.32,76.47,7.4
304,20,1533776981,96,5.26,-0.76,72.73,8.19
305,75,1533772800,60,-54.81,-68.31,41.0,17.22
306,0,1533776992,94,30.68,30.94,70.3,2.82
307,92,1533776963,100,-7.93,-14.42,76.83,19.48
308,92,1533776963,100,-7.93,-14.42,76.83,19.48
309,75,1533772800,88,-22.97,-42.02,69.8,12.75
310,75,1533772800,88,-22.97,-42.02,69.8,12.75
311,75,1533772800,60,-54.81,-68.31,41.0,17.22
312,75,1533772800,60,-54.81,-68.31,41.0,17.22
313,0,1533776961,80,51.2,49.73,59.91,9.86
314,75,1533772800,60,-54.81,-68.31,41.0,17.22
315,8,1533776993,88,52.51,52.07,56.76,11.77
316,0,1533774000,49,38.35,38.32,71.6,20.8
317,92,1533776963,100,-7.93,-14.42,76.83,19.48
318,12,1533776993,95,52.53,52.75,55.32,10.42
319,36,1533776990,97,-34.48,-54.34,49.56,3.94
320,40,1533776400,78,-3.71,-38.6,78.8,9.17
321,88,1533776877,95,-33.69,-53.46,53.56,11.54
322,8,1533776962,67,-46.43,-67.52,45.69,14.12
323,0,1533776975,78,60.91,61.52,50.19,5.17
324,48,1533776982,78,13.04,8.32,76.47,7.4
325,40,1533776400,78,-3.71,-38.6,78.8,9.17
326,36,1533776990,97,-34.48,-54.34,49.56,3.94
327,75,1533772800,60,-54.81,-68.31,41.0,17.22
328,88,1533776877,95,-33.69,-53.46,53.56,11.54
329,75,1533772800,60,-54.81,-68.31,41.0,17.22
330,75,1533772800,60,-54.81,-68.31,41.0,17.22
331,92,1533776982,98,57.36,57.24,55.99,14.45
332,12,1533776962,77,73.51,80.55,50.73,19.37
333,92,1533776975,98,66.56,67.8,48.34,13.33
334,40,1533776400,78,-3.71,-38.6,78.8,9.17
335,0,1533776970,73,50.14,48.57,61.71,9.19
336,92,1533776963,100,-7.93,-14.42,76.83,19.48
337,12,1533776962,77,73.51,80.55,50.73,19.37
338,92,1533776963,100,66.83,70.83,48.21,23.51
339,92,1533776963,100,-7.93,-14.42,76.83,19.48
340,12,1533776962,77,73.51,80.55,50.73,19.37
341,75,1533772800,60,-54.81,-68.31,41.0,17.22
342,92,1533776977,97,58.37,58.33,54.24,11.65
343,92,1533776995,97,41.09,40.73,53.34,1.36
344,75,1533772800,60,-54.81,-68.31,41.0,17.22
345,75,1533772800,88,-22.97,-42.02,69.8,12.75
346,75,1533772800,60,-54.81,-68.31,41.0,17.22
347,48,1533776995,85,66.54,66.62,48.66,13.89
348,75,1533772800,60,-54.81,-68.31,41.0,17.22
349,8,1533776964,89,14.12,15.31,74.22,8.63
350,92,1533776963,100,-7.93,-14.42,76.83,19.48
351,12,1533776962,77,73.51,80.55,50.73,19.37
352,92,1533776963,100,-7.93,-14.42,76.83,19.48
353,68,1533776974,45,47.32,47.38,75.25,11.77
354,0,1533772200,44,37.03,36.63,78.8,17.22
355,0,1533772200,41,39.11,39.55,75.2,9.17
356,75,1533772800,88,-22.97,-42.02,69.8,12.75
357,24,1533776996,81,61.92,63.02,50.05,5.17
358,75,1533772800,60,-54.81,-68.31,41.0,17.22
359,8,1533776964,89,14.12,15.31,74.22,8.63
360,24,1533776997,62,44.78,41.17,71.79,9.86
361,36,1533776990,97,-34.48,-54.34,49.56,3.94
362,75,1533772800,60,-54.81,-68.31,41.0,17.22
363,32,1533776974,28,29.03,21.55,91.0,11.1
364,40,1533772800,78,31.42,31.81,80.6,8.05
365,12,1533776962,77,73.51,80.55,50.73,19.37
366,8,1533776962,67,-46.43,-67.52,45.69,14.12
367,92,1533776970,91,7.37,7.63,74.94,7.96
368,12,1533776962,77,73.51,80.55,50.73,19.37
369,75,1533772800,60,-54.81,-68.31,41.0,17.22
370,0,1533776970,73,50.14,48.57,61.71,9.19
371,80,1533776997,95,6.71,6.33,74.58,8.41
372,12,1533776962,77,73.51,80.55,50.73,19.37
373,88,1533776998,52,44.8,45.21,78.09,4.94
374,92,1533776967,95,-30.17,-50.22,62.38,4.83
375,92,1533776976,100,56.0,55.92,59.41,1.7
376,40,1533776400,78,-3.71,-38.6,78.8,9.17
377,75,1533772800,60,-54.81,-68.31,41.0,17.22
378,75,1533772800,60,-54.81,-68.31,41.0,17.22
379,75,1533772800,88,-22.97,-42.02,69.8,12.75
380,32,1533776974,28,29.03,21.55,91.0,11.1
381,8,1533776962,67,-46.43,-67.52,45.69,14.12
382,75,1533772800,60,-54.81,-68.31,41.0,17.22
383,48,1533776999,92,-32.03,-52.1,56.13,15.68
384,8,1533776964,89,14.12,15.31,74.22,8.63
385,75,1533772800,60,-54.81,-68.31,41.0,17.22
386,75,1533772800,60,-54.81,-68.31,41.0,17.22
